_id,car_model,car_ID,year,mileage,sec_status,price
5eb6979fbbb13e40ab836519,2014 Mercedes-Benz Ml350,NG-472518,2014," 84,144 Km",Foreign Used,"₦ 12,660,000"
5eb6979fbbb13e40ab83651a,2013 Kia Rio,NG-479135,2013," 90,548 Km",Nigerian Used,"₦ 815,000"
5eb6979fbbb13e40ab83651b,2009 Honda Civic,NG-479329,2009," 124,223 Km",Foreign Used,"₦ 1,965,000"
5eb697a0bbb13e40ab83651c,2013 Honda Accord,NG-479364,2013," 62,038 Km",Nigerian Used,"₦ 2,770,000"
5eb697a0bbb13e40ab83651d,2006 Toyota Avalon,NG-479117,2006," 167,588 Km",Nigerian Used,"₦ 1,390,000"
5eb697a0bbb13e40ab83651e,2014 Ford Edge,NG-479347,2014," 43,384 Km",Nigerian Used,"₦ 6,335,000"
5eb697a0bbb13e40ab83651f,2007 Land Rover HSE,NG-479298,2007," 159,845 Km",Nigerian Used,"₦ 1,976,500"
5eb697a0bbb13e40ab836520,,,,,,
5eb697a1bbb13e40ab836521,2002 Honda Cr-V,NG-479319,2002," 207,544 Km",Nigerian Used,"₦ 700,000"
5eb697a1bbb13e40ab836522,2003 Toyota Camry,NG-479325,2003," 249,581 Km",Nigerian Used,"₦ 757,500"
5eb697a1bbb13e40ab836523,2005 Hyundai Tucson,NG-479153,2005," 96,360 Km",Nigerian Used,"₦ 642,500"
5eb697a2bbb13e40ab836524,2008 Toyota Corolla,NG-479318,2008," 73,024 Km",Nigerian Used,"₦ 682,750"
5eb697a2bbb13e40ab836525,2003 Toyota Camry,NG-479294,2003, 231 Km,Foreign Used,"₦ 1,505,000"
5eb697a2bbb13e40ab836526,2003 Toyota Camry,NG-479157,2003," 265,045 Km",Nigerian Used,"₦ 930,000"
5eb697a3bbb13e40ab836527,2015 Honda Accord Crosstour,NG-479118,2015," 84,438 Km",Foreign Used,"₦ 5,300,000"
5eb697a3bbb13e40ab836528,2008 Honda Accord,NG-479141,2008," 173,928 Km",Nigerian Used,"₦ 815,000"
5eb697a3bbb13e40ab836529,2001 Toyota Highlander,NG-459257,2001," 233,848 Km",Nigerian Used,"₦ 980,000"
5eb697a3bbb13e40ab83652a,2012 Toyota Highlander,NG-453520,2012," 44,262 Km",Nigerian Used,"₦ 2,500,000"
5eb697a4bbb13e40ab83652b,1999 Toyota Camry,NG-479127,1999," 182,672 Km",Nigerian Used,"₦ 700,000"
5eb697a4bbb13e40ab83652c,2007 Toyota Camry,NG-447995,2007," 255,053 Km",Nigerian Used,"₦ 1,000,000"
5eb697a4bbb13e40ab83652d,2008 Nissan Qashqai,NG-446960,2008," 129,234 Km",Nigerian Used,"₦ 1,100,000"
5eb697a4bbb13e40ab83652e,2006 Acura Mdx,NG-479131,2006," 113,602 Km",Foreign Used,"₦ 2,080,000"
5eb697a4bbb13e40ab83652f,2004 Toyota Corolla,NG-479139,2004," 63,159 Km",Nigerian Used,"₦ 1,160,000"
5eb697a5bbb13e40ab836530,2008 Lexus Is,NG-479146,2008," 82,774 Km",Nigerian Used,"₦ 2,080,000"
5eb697a5bbb13e40ab836531,2007 Dodge Caliber,NG-479125,2007," 160,363 Km",Nigerian Used,"₦ 585,000"
5eb697a5bbb13e40ab836532,2011 Mazda Cx-9,NG-479108,2011," 122,405 Km",Foreign Used,"₦ 4,610,000"
5eb697a6bbb13e40ab836533,2002 Honda Civic,NG-479119,2002," 183,246 Km",Nigerian Used,"₦ 470,000"
5eb697a6bbb13e40ab836534,2008 Toyota Yaris,NG-479084,2008," 145,258 Km",Foreign Used,"₦ 1,735,000"
5eb697a6bbb13e40ab836535,2002 Acura Tl,NG-479107,2002," 210,468 Km",Nigerian Used,"₦ 337,750"
5eb697a6bbb13e40ab836536,1997 Toyota Camry,NG-479071,1997," 121,958 Km",Nigerian Used,"₦ 297,500"
5eb697a6bbb13e40ab836537,2000 Honda Accord,NG-479089,2000," 220,304 Km",Nigerian Used,"₦ 700,000"
5eb697a6bbb13e40ab836538,2001 Nissan Pathfinder,NG-479078,2001," 154,514 Km",Nigerian Used,"₦ 493,000"
5eb697a7bbb13e40ab836539,2011 Hyundai Genesis,NG-436413,2011," 214,757 Km",Foreign Used,"₦ 3,460,000"
5eb697a7bbb13e40ab83653a,2004 Honda Accord,NG-478805,2004," 139,953 Km",Nigerian Used,"₦ 815,000"
5eb697a7bbb13e40ab83653b,2014 Volkswagen Polo,NG-428926,2014," 69,618 Km",Nigerian Used,"₦ 1,045,000"
5eb697a7bbb13e40ab83653c,,,,,,
5eb697a7bbb13e40ab83653d,2003 Toyota Highlander,NG-478884,2003," 98,466 Km",Nigerian Used,"₦ 757,500"
5eb697a8bbb13e40ab83653e,2009 Honda Accord,NG-478802,2009," 85,597 Km",Nigerian Used,"₦ 1,965,000"
5eb697a8bbb13e40ab83653f,2005 Toyota Sienna,NG-478752,2005," 172,891 Km",Foreign Used,"₦ 2,310,000"
5eb697a8bbb13e40ab836540,2013 Honda Accord,NG-478797,2013," 97,240 Km",Nigerian Used,"₦ 3,460,000"
5eb697a8bbb13e40ab836541,2008 Honda Accord,NG-478804,2008," 261,895 Km",Nigerian Used,"₦ 1,620,000"
5eb697aabbb13e40ab836542,2008 Toyota Corolla,NG-478800,2008," 151,596 Km",Nigerian Used,"₦ 930,000"
5eb697aabbb13e40ab836543,2006 Toyota Corolla,NG-477465,2006," 195,755 Km",Foreign Used,"₦ 2,022,500"
5eb697aabbb13e40ab836544,2005 Nissan Frontier,NG-478796,2005," 207,129 Km",Nigerian Used,"₦ 1,965,000"
5eb697abbbb13e40ab836545,2003 Honda Accord,NG-478750,2003," 171,689 Km",Nigerian Used,"₦ 700,000"
5eb697abbbb13e40ab836546,2004 Mercedes-Benz E320,NG-478740,2004," 162,262 Km",Nigerian Used,"₦ 987,500"
5eb697abbbb13e40ab836547,2009 Toyota Corolla,NG-478744,2009," 82,200 Km",Foreign Used,"₦ 2,770,000"
5eb697abbbb13e40ab836548,2000 Toyota Camry,NG-478420,2000," 137,540 Km",Nigerian Used,"₦ 527,500"
5eb697abbbb13e40ab836549,2008 Toyota Yaris,NG-478546,2008," 170,000 Km",Nigerian Used,"₦ 355,000"
5eb697abbbb13e40ab83654a,2006 Toyota Corolla,NG-478029,2006," 258,070 Km",Foreign Used,"₦ 2,196,500"
5eb697acbbb13e40ab83654b,2004 Toyota Corolla,NG-478032,2004," 281,442 Km",Foreign Used,"₦ 1,966,500"
5eb697afbbb13e40ab83654c,2005 Toyota Sienna,NG-478588,2005," 88,780 Km",Nigerian Used,"₦ 1,390,000"
5eb697afbbb13e40ab83654d,2011 Toyota Camry,NG-478579,2011," 619,852 Km",Foreign Used,"₦ 2,310,000"
5eb697b0bbb13e40ab83654e,2001 Toyota Camry,NG-478584,2001," 152,935 Km",Nigerian Used,"₦ 585,000"
5eb697b0bbb13e40ab83654f,1999 Nissan Pathfinder,NG-478568,1999," 282,328 Km",Nigerian Used,"₦ 470,000"
5eb697b0bbb13e40ab836550,2001 Nissan Almera,NG-478570,2001," 61,975 Km",Nigerian Used,"₦ 240,000"
5eb697b0bbb13e40ab836551,2012 Hyundai Sonata,NG-330012,2012," 138,640 Km",Nigerian Used,"₦ 1,661,000"
5eb697b1bbb13e40ab836552,1999 Lexus Rx 300,NG-478412,1999," 214,774 Km",Nigerian Used,"₦ 670,000"
5eb697b1bbb13e40ab836553,2008 Hyundai Sonata,NG-467792,2008," 78,672 Km",Nigerian Used,"₦ 1,771,000"
5eb697b1bbb13e40ab836554,2008 Toyota Corolla,NG-445835,2008," 145,527 Km",Nigerian Used,"₦ 1,551,000"
5eb697b1bbb13e40ab836555,2000 Lexus Rx 300,NG-463405,2000," 264,616 Km",Nigerian Used,"₦ 891,000"
5eb697b2bbb13e40ab836556,,,,,,
5eb697b2bbb13e40ab836557,2008 Toyota Corolla,NG-446493,2008," 177,514 Km",Nigerian Used,"₦ 1,551,000"
5eb697b3bbb13e40ab836558,2004 Toyota Sienna,NG-478229,2004," 279,463 Km",Foreign Used,"₦ 2,080,000"
5eb697b3bbb13e40ab836559,2010 Toyota Camry,NG-478048,2010," 613,042 Km",Foreign Used,"₦ 3,000,000"
5eb697b3bbb13e40ab83655a,2010 Dodge Avenger,NG-478036,2010," 50,172 Km",Nigerian Used,"₦ 815,000"
5eb697b3bbb13e40ab83655b,2012 Mercedes-Benz Ml350,NG-476156,2012," 107,068 Km",Nigerian Used,"₦ 6,910,000"
5eb697b4bbb13e40ab83655c,2008 Toyota Highlander,NG-478024,2008," 69,734 Km",Nigerian Used,"₦ 3,517,500"
5eb697b4bbb13e40ab83655d,2006 Peugeot 407,NG-477928,2006," 112,652 Km",Foreign Used,"₦ 1,562,500"
5eb697b4bbb13e40ab83655e,2009 Honda Accord,NG-459356,2009," 12,345 Km",Nigerian Used,"₦ 1,217,500"
5eb697b4bbb13e40ab83655f,1998 Mazda 626,NG-477926,1998," 242,338 Km",Nigerian Used,"₦ 297,500"
5eb697b4bbb13e40ab836560,2001 Toyota Corolla,NG-476167,2001," 296,525 Km",Nigerian Used,"₦ 412,500"
5eb697b5bbb13e40ab836561,2005 Toyota Avalon,NG-477770,2005," 192,453 Km",Nigerian Used,"₦ 1,390,000"
5eb697b5bbb13e40ab836562,2006 Honda Cr-V,NG-461210,2006," 389,035 Km",Foreign Used,"₦ 1,850,000"
5eb697b5bbb13e40ab836563,2005 Honda Accord,NG-462245,2005," 185,107 Km",Nigerian Used,"₦ 412,500"
5eb697b5bbb13e40ab836564,2003 Nissan Altima,NG-477487,2003," 197,348 Km",Nigerian Used,"₦ 562,000"
5eb697b5bbb13e40ab836565,2006 Toyota Camry,NG-477477,2006," 190,022 Km",Nigerian Used,"₦ 930,000"
5eb697b6bbb13e40ab836566,1997 Nissan Primera,NG-476173,1997," 234,781 Km",Nigerian Used,"₦ 332,000"
5eb697b6bbb13e40ab836567,2006 Nissan Pathfinder,NG-476322,2006," 167,790 Km",Nigerian Used,"₦ 1,976,500"
